Pos.,Pct.,Amount,2 Tied,3 Tied,4 Tied,5 Tied,6 Tied,7 Tied,8 Tied,9 Tied,10 Tied
17,1.63%,"$149,500.00","$144,900.00","$140,300.00","$135,700.00","$131,100.00","$126,500.00","$122,162.86","$117,990.00","$113,926.66","$109,940.00"
18,1.53%,"$140,300.00","$135,700.00","$131,100.00","$126,500.00","$121,900.00","$117,606.66","$113,488.57","$109,480.00","$105,544.45","$102,120.00"
19,1.43%,"$131,100.00","$126,500.00","$121,900.00","$117,300.00","$113,068.00","$109,020.00","$105,077.14","$101,200.00","$97,877.78","$94,944.00"
20,1.33%,"$121,900.00","$117,300.00","$112,700.00","$108,560.00","$104,604.00","$100,740.00","$96,928.57","$93,725.00","$90,926.66","$88,412.00"
21,1.23%,"$112,700.00","$108,100.00","$104,113.34","$100,280.00","$96,508.00","$92,766.66","$89,700.00","$87,055.00","$84,691.11","$82,524.00"
22,1.13%,"$103,500.00","$99,820.00","$96,140.00","$92,460.00","$88,780.00","$85,866.66","$83,391.43","$81,190.00","$79,171.11","$77,280.00"
23,1.05%,"$96,140.00","$92,460.00","$88,780.00","$85,100.00","$82,340.00","$80,040.00","$78,002.86","$76,130.00","$74,366.66","$72,680.00"
24,0.97%,"$88,780.00","$85,100.00","$81,420.00","$78,890.00","$76,820.00","$74,980.00","$73,271.43","$71,645.00","$70,073.34","$68,540.00"
25,0.89%,"$81,420.00","$77,740.00","$75,593.34","$73,830.00","$72,220.00","$70,686.66","$69,197.14","$67,735.00","$66,291.11","$64,906.00"
26,0.81%,"$74,060.00","$72,680.00","$71,300.00","$69,920.00","$68,540.00","$67,160.00","$65,780.00","$64,400.00","$63,071.11","$61,778.00"
27,0.78%,"$71,300.00","$69,920.00","$68,540.00","$67,160.00","$65,780.00","$64,400.00","$63,020.00","$61,697.50","$60,413.33","$59,156.00"
28,0.75%,"$68,540.00","$67,160.00","$65,780.00","$64,400.00","$63,020.00","$61,640.00","$60,325.71","$59,052.50","$57,806.67","$56,580.00"
29,0.72%,"$65,780.00","$64,400.00","$63,020.00","$61,640.00","$60,260.00","$58,956.67","$57,697.14","$56,465.00","$55,251.11","$54,096.00"
30,0.69%,"$63,020.00","$61,640.00","$60,260.00","$58,880.00","$57,592.00","$56,350.00","$55,134.29","$53,935.00","$52,797.78","$51,704.00"
31,0.66%,"$60,260.00","$58,880.00","$57,500.00","$56,235.00","$55,016.00","$53,820.00","$52,637.14","$51,520.00","$50,446.67","$49,404.00"
32,0.63%,"$57,500.00","$56,120.00","$54,893.33","$53,705.00","$52,532.00","$51,366.67","$50,271.43","$49,220.00","$48,197.78","$47,196.00"
33,0.60%,"$54,740.00","$53,590.00","$52,440.00","$51,290.00","$50,140.00","$49,066.67","$48,037.14","$47,035.00","$46,051.11","$45,080.00"
34,0.57%,"$52,440.00","$51,290.00","$50,140.00","$48,990.00","$47,932.00","$46,920.00","$45,934.29","$44,965.00","$44,006.67","$43,056.00"
35,0.55%,"$50,140.00","$48,990.00","$47,840.00","$46,805.00","$45,816.00","$44,850.00","$43,897.14","$42,952.50","$42,013.33","$41,078.00"
